block,cluster,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,mean_copies,tree_consistent
166,0,6.006508875699998,2,45,0.3789954337899543,False
159,1,4.646741519299999,2,35,0.3515981735159817,False
157,2,4.0130652656000025,2,36,0.4337899543378995,False
156,2,3.4590146248000013,2,34,0.3607305936073059,False
155,2,3.1944552617000013,2,33,0.3561643835616438,False
172,3,2.1531345060000002,1,19,0.1095890410958904,False
2,4,1.9401593134000001,4,28,5.917808219178082,False
10,5,1.7076839879999994,2,22,0.6757990867579908,False
167,6,1.274212195,1,14,0.1232876712328767,False
80,7,1.2694340050000004,2,24,0.6484018264840182,False
64,8,1.1079908365,2,20,0.2465753424657534,False
158,9,0.8352916003000002,2,16,0.2557077625570776,False
47,10,0.8118211999999998,2,16,0.6027397260273972,False
161,11,0.809930595,1,12,0.2237442922374429,False
77,12,0.615018998,2,14,0.6712328767123288,False
76,12,0.615018998,2,14,0.6712328767123288,False
165,13,0.42525084599999996,2,15,0.1552511415525114,False
162,14,0.3529468495,1,8,0.0410958904109589,False
70,12,0.24487925300000002,2,10,0.684931506849315,False
160,15,0.23182523200000002,1,6,0.0365296803652968,False
183,16,0.21946869300000002,1,6,0.0593607305936073,False
199,17,0.19041675899999996,1,6,0.0319634703196347,False
198,17,0.19041675899999996,1,6,0.0319634703196347,False
197,17,0.19041675899999996,1,6,0.0319634703196347,False
196,17,0.19041675899999996,1,6,0.0319634703196347,False
69,18,0.14883753519999998,1,5,0.9315068493150684,False
174,3,0.14559849799999997,1,5,0.0228310502283105,False
125,19,0.13048913999999998,1,5,0.9634703196347032,False
173,3,0.1152888456,1,5,0.0365296803652968,False
179,15,0.08309074600000001,1,4,0.0639269406392694,False
171,20,0.081109312,1,4,0.0547945205479452,False
210,17,0.0776679766,1,4,0.0182648401826484,False
194,21,0.07452777220000001,1,4,0.0228310502283105,False
186,22,0.070055074,1,4,0.0273972602739726,False
201,23,0.0474230252,1,3,0.0136986301369863,False
211,24,0.042279788000000006,1,3,0.0136986301369863,False
181,13,0.036230388,1,3,0.0136986301369863,False
180,13,0.036230388,1,3,0.0136986301369863,False
45,25,0.036140038,1,3,0.1735159817351598,False
44,25,0.036140038,1,3,0.1735159817351598,False
43,25,0.036140038,1,3,0.1735159817351598,False
178,26,0.035817001999999994,1,3,0.0958904109589041,False
177,27,0.021893101600000003,1,3,0.0365296803652968,False
213,14,0.018259521900000002,1,2,0.0091324200913242,False
205,28,0.016760922000000004,1,2,0.0273972602739726,False
215,16,0.015853032,1,2,0.0273972602739726,False
182,14,0.014467397999999998,1,2,0.0136986301369863,False
185,29,0.013874310999999999,1,2,0.0091324200913242,False
164,30,0.013662900999999998,1,2,0.0091324200913242,False
163,30,0.013662900999999998,1,2,0.0091324200913242,False
208,31,0.012810307000000002,1,2,0.0091324200913242,False
184,32,0.012329725000000001,1,2,0.0091324200913242,False
193,33,0.01145937,1,2,0.0091324200913242,False
192,33,0.01145937,1,2,0.0091324200913242,False
191,33,0.01145937,1,2,0.0091324200913242,False
190,33,0.01145937,1,2,0.0091324200913242,False
189,33,0.01145937,1,2,0.0091324200913242,False
188,32,0.01051541,1,2,0.0091324200913242,False
187,34,0.010472955,1,2,0.0136986301369863,False
106,19,0.010460144999999999,1,2,0.9908675799086758,False
195,24,0.00885132,1,2,0.0136986301369863,False
152,19,0.007874619000000001,1,2,0.91324200913242,False
176,17,3.93252e-05,1,2,0.0182648401826484,False
175,17,3.93252e-05,1,2,0.0182648401826484,False
214,21,3.3553499999999996e-05,1,2,0.0091324200913242,False
217,27,0,0,0,0.0091324200913242,True
216,27,0,0,0,0.0182648401826484,True
212,35,0,0,0,0.0091324200913242,True
209,36,0,0,0,0.0091324200913242,True
207,37,0,0,0,0.0091324200913242,True
206,37,0,0,0,0.0091324200913242,True
204,38,0,0,0,0.0136986301369863,True
203,38,0,0,0,0.0136986301369863,True
202,38,0,0,0,0.0136986301369863,True
200,39,0,0,0,0.0091324200913242,True
170,40,0,0,0,0.0136986301369863,True
169,40,0,0,0,0.0136986301369863,True
168,40,0,0,0,0.0136986301369863,True
154,19,0,0,0,1,True
153,19,0,0,0,1,True
151,19,0,0,0,1,True
150,19,0,0,0,1,True
149,19,0,0,0,1,True
148,19,0,0,0,1,True
147,19,0,0,0,1,True
146,19,0,0,0,1,True
145,19,0,0,0,1,True
144,19,0,0,0,1,True
143,19,0,0,0,1,True
142,19,0,0,0,1,True
