strain,character_state,character_state_annotation
AM295007,3,inversion between 94h-95t and 17h-18t
CP000056,0,edge exists
CP011068,0,edge exists
AP012491,3,inversion between 94h-95t and 17h-18t
CP003116,0,edge exists
CP010449,3,inversion between 94h-95t and 17h-18t
CP007562,3,inversion between 94h-95t and 17h-18t
CP013839,0,edge exists
CP000003,0,edge exists
AE009949,0,edge exists
CP003068,0,edge exists
CP000260,0,edge exists
CP014138,0,edge exists
CP014139,3,inversion between 94h-95t and 17h-18t
AE004092,0,edge exists
CP008926,0,edge exists
AP012335,0,edge exists
CP011535,3,inversion between 94h-95t and 17h-18t
CP007560,0,edge exists
CP008776,3,inversion between 94h-95t and 17h-18t
CP000829,0,edge exists
CP007537,3,inversion between 94h-95t and 17h-18t
AFRY01000001,0,edge exists
CP007241,0,edge exists
CP007240,0,edge exists
CP013672,0,edge exists
HG316453,0,edge exists
CP003901,0,edge exists
CP010450,0,edge exists
CP003121,0,edge exists
CP000017,0,edge exists
CP000259,0,edge exists
CP000262,0,edge exists
AP014572,0,edge exists
CP000261,0,edge exists
CP008695,3,inversion between 94h-95t and 17h-18t
CP007041,3,inversion between 94h-95t and 17h-18t
CP007024,0,edge exists
AP014585,0,edge exists
CP015238,0,edge exists
BA000034,3,inversion between 94h-95t and 17h-18t
CP013838,0,edge exists
CP009612,0,edge exists
CP014027,3,inversion between 94h-95t and 17h-18t
CP007561,3,inversion between 94h-95t and 17h-18t
CP011415,0,edge exists
CP013840,0,edge exists
CP012045,3,inversion between 94h-95t and 17h-18t
CP006366,0,edge exists
AE014074,0,edge exists
